system_time, x, y, z 
29.738,0.0515008,0.220725,-0.0731368
29.856,0.0512627,0.208479,-0.0742899
29.97,0.0511685,0.19476,-0.0761187
30.086,0.0512876,0.180096,-0.0800354
30.2,0.0512946,0.165075,-0.0854151
30.318,0.0512737,0.148079,-0.0918566
30.436,0.0512346,0.129395,-0.0973277
30.552,0.0506564,0.110508,-0.100762
30.667,0.0490273,0.0923408,-0.102626
30.783,0.0470172,0.075009,-0.104242
30.898,0.0444381,0.0585677,-0.106792
31.015,0.0391932,0.0417567,-0.11111
31.129,0.0316723,0.0239691,-0.117201
31.242,0.0237007,0.00631681,-0.123566
31.36,0.0145872,-0.00983409,-0.127508
31.475,0.00425557,-0.0240985,-0.124465
31.591,-0.00458336,-0.0388394,-0.115875
31.707,-0.00853886,-0.0547686,-0.105146
31.825,-0.00686148,-0.0710968,-0.0972058
31.942,-0.00366493,-0.0855116,-0.0944829
32.058,-0.00294577,-0.0970038,-0.0964235
32.176,-0.00713804,-0.105943,-0.0991108
32.295,-0.0154368,-0.114719,-0.102042
32.415,-0.0260723,-0.124479,-0.10448
32.532,-0.0374485,-0.134181,-0.106243
32.649,-0.0504163,-0.142572,-0.10731
32.766,-0.0643583,-0.148036,-0.107188
32.88,-0.0782644,-0.149752,-0.105217
32.996,-0.0925021,-0.147692,-0.101646
33.115,-0.107092,-0.142313,-0.0962914
33.233,-0.121861,-0.135314,-0.0909523
33.352,-0.136594,-0.127337,-0.0880923
33.469,-0.15159,-0.11866,-0.0883463
33.588,-0.165198,-0.108696,-0.0897687
33.705,-0.165346,-0.102478,-0.0899414
33.823,-0.164408,-0.0993609,-0.0889559
33.94,-0.164007,-0.098017,-0.0880923
34.059,-0.163446,-0.0960902,-0.087442
34.181,-0.162622,-0.0931746,-0.0862482
34.299,-0.161716,-0.0898296,-0.0858114
34.417,-0.160667,-0.0857619,-0.0867207
34.538,-0.159484,-0.0809577,-0.0886206
34.658,-0.15831,-0.0758282,-0.091374
34.775,-0.157111,-0.0702066,-0.0945998
34.892,-0.155747,-0.0631786,-0.0972312
35.008,-0.154263,-0.054512,-0.0978916
35.126,-0.152826,-0.044413,-0.09684
35.249,-0.151509,-0.0324977,-0.0949249
35.368,-0.15053,-0.019313,-0.0941476
35.486,-0.15003,-0.00512852,-0.0931672
35.605,-0.150103,0.00861996,-0.0907491
35.723,-0.150607,0.0207428,-0.0863397
35.843,-0.151406,0.0313729,-0.079817
35.961,-0.152265,0.0398196,-0.0727862
36.082,-0.153084,0.0463854,-0.0678383
36.202,-0.153313,0.0516653,-0.0681025
36.319,-0.152834,0.057483,-0.0716839
36.438,-0.15069,0.0651102,-0.0749198
36.557,-0.146301,0.0746389,-0.076139
36.677,-0.139567,0.0864383,-0.0747725
36.8,-0.129762,0.100099,-0.0713638
36.916,-0.119356,0.11384,-0.0681685
37.033,-0.108909,0.127367,-0.0654914
37.148,-0.0979943,0.139919,-0.0636067
37.267,-0.0858535,0.152587,-0.0623621
37.385,-0.0737499,0.164204,-0.0620624
37.506,-0.0616956,0.173486,-0.0631342
37.624,-0.0525037,0.180627,-0.0646786
37.742,-0.0476812,0.185262,-0.06604
38.445,-0.0801891,0.174506,-0.0406502
38.565,-0.080423,0.169015,-0.0383286
38.683,-0.0797011,0.164332,-0.0392278
38.805,-0.0785506,0.160418,-0.0425196
38.926,-0.0775007,0.157414,-0.0471373
39.045,-0.0775694,0.155655,-0.0521614
39.163,-0.0778021,0.154077,-0.0565302
39.283,-0.076986,0.151158,-0.0602539
39.4,-0.075818,0.14754,-0.0633324
