time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
1.536,-0.00896184,0.0489011,-0.134864,-0.0276936,-0.101573,-0.135362,179.829,130,46.1011,4.68457,-20.8218,0,0
1.555,-0.00662651,0.0495937,-0.133746,-0.0246148,-0.100582,-0.135362,0,130,39.9732,4.08643,-32.3452,0,0
1.573,-0.000805512,0.0506017,-0.132105,-0.0169406,-0.0991385,-0.135362,0,130,22.3462,0.851557,-32.272,0,0
1.591,0.00692042,0.0516538,-0.130505,-0.00675503,-0.0976321,-0.135362,0,130,9.62652,0.375471,-40.0601,0,0
1.609,0.0152811,0.0527395,-0.129266,0.00426736,-0.0960775,-0.135362,0,130,-5.75434,-2.73733,-30.6363,0,1
1.627,0.0229852,0.0536533,-0.127991,0.0144241,-0.0947691,-0.135362,0,130,-15.8373,-1.48,-32.3208,0,1
1.646,0.0291895,0.0543533,-0.126533,0.0226036,-0.0937669,-0.135362,0,130,-30.8398,-4.10451,-36.2027,0,1
1.665,0.0324504,0.0546745,-0.125466,0.0269027,-0.093307,-0.135362,0,130,-45.2563,-4.22658,-47.2134,0,1
1.682,0.0322404,0.0546302,-0.12539,0.0266258,-0.0933704,-0.135362,0,130,-42.5097,-3.87258,-47.604,0,1
1.699,0.0287067,0.0542313,-0.126446,0.0219671,-0.0939415,-0.135362,0,130,-35.393,-5.39846,-51.2417,0,1
1.716,0.0226736,0.0535051,-0.128067,0.0140133,-0.0949813,-0.135362,186.821,130,-25.7983,-4.75149,-33.3706,0,1
1.734,0.0150138,0.0524565,-0.129875,0.00391496,-0.0964827,-0.135362,187.192,130,-7.60981,1.91355,-43.4292,0,1
1.753,0.00543397,0.0513077,-0.131816,-0.00871471,-0.0981276,-0.135362,187.16,130,8.66216,2.12107,-42.1109,0,0
1.772,-0.00307553,0.0502781,-0.133706,-0.0199333,-0.0996018,-0.135362,187.143,130,20.4297,4.09861,-46.8716,0,0
1.789,-0.00913386,0.0495475,-0.135392,-0.0279204,-0.100648,-0.135362,186.869,130,34.0772,4.02537,-37.3013,0,0
1.806,-0.0128556,0.0490885,-0.135219,-0.032827,-0.101305,-0.135362,186.918,130,45.6128,6.41795,-33.5415,0,0
1.824,-0.0133604,0.0489293,-0.134798,-0.0334925,-0.101533,-0.135362,187.471,130,49.5923,6.02732,-22.6529,0,0
1.841,-0.0104588,0.0491164,-0.133955,-0.0296671,-0.101265,-0.135362,0,130,43.0738,4.73338,-33.0044,0,0
1.859,-0.00432753,0.0497315,-0.132878,-0.0215839,-0.100384,-0.135362,0,130,29.4507,0.753877,-25.7046,0,0
1.876,0.00390867,0.0504846,-0.131445,-0.0107256,-0.0993061,-0.135362,0,130,14.3873,0.351044,-34.1519,0,0
1.894,0.013194,0.0513139,-0.129946,0.00151581,-0.0981187,-0.135362,0,130,-4.28949,-0.161666,-29.9771,0,1
1.912,0.0223892,0.0521261,-0.12827,0.0136384,-0.0969558,-0.135362,0,130,-19.3652,-3.87259,-36.3491,0,1
1.93,0.0299111,0.0526183,-0.126756,0.023555,-0.0962511,-0.135362,0,130,-34.7949,-4.78812,-38.7417,0,1
1.948,0.0347507,0.0527192,-0.125806,0.0299353,-0.0961066,-0.135362,0,130,-46.1352,-3.93363,-43.9419,0,1
1.967,0.0359915,0.0525069,-0.125735,0.0315711,-0.0964106,-0.135362,0,130,-46.7455,-6.00882,-48.8003,0,1
1.984,0.0339832,0.0519038,-0.126903,0.0289235,-0.0972741,-0.135362,0,130,-35.9667,-2.35892,-56.0025,0,1
2.003,0.0284497,0.0510181,-0.128707,0.0216283,-0.0985423,-0.135362,195.108,130,-29.436,-2.21243,-42.9409,0,1
2.021,0.0211748,0.0501954,-0.130597,0.0120374,-0.0997202,-0.135362,188.867,130,-14.0185,-1.28469,-57.2232,0,0
2.038,0.0126073,0.0494404,-0.132339,0.000742325,-0.100801,-0.135362,186.574,130,-6.52338,-1.66311,-48.7515,0,0
2.056,0.00385939,0.048756,-0.134087,-0.0107906,-0.101781,-0.135362,185.256,130,6.55035,3.29294,-51.3882,0,0
2.074,-0.00468034,0.0483447,-0.135565,-0.022049,-0.10237,-0.135362,184.094,130,22.0044,5.42917,-55.3677,0,0
2.092,-0.0107845,0.048389,-0.135265,-0.0300965,-0.102307,-0.135362,182.574,130,33.1739,-0.356964,-38.4488,0,0
2.109,-0.0143885,0.0486432,-0.134986,-0.0348479,-0.101943,-0.135362,180.354,130,40.5103,4.66013,-35.5191,0,0
2.126,-0.0148479,0.0491492,-0.134884,-0.0354535,-0.101218,-0.135362,175.476,130,44.7095,4.83103,-24.0445,0,0
