Subject,Force,BallFreq,Energy0.5,Energy1.0,Energy1.5,Energy2.5,Resonance
Subject1,F1_B0,2.5Hz,0.4305600074855147,0.8135959060038317,0.5327346336611458,0.25254440846233717,0.25254440846233717
Subject1,F1_B0,2.5Hz,0.5281070786195609,1.0665542953780507,0.7117356713558796,0.2886672911568551,0.2886672911568551
Subject1,F1_B0,2.5Hz,0.656384469855251,1.277860975368038,0.885564861518598,0.3394223021294491,0.3394223021294491
Subject2,F1_B0,0.5Hz,0.1573642316944437,0.17670511455025825,0.0845636385586381,0.03395887733185559,0.1573642316944437
Subject2,F1_B0,0.5Hz,0.3297875786016753,0.32120801297779633,0.23117610242242012,0.06524314138828807,0.3297875786016753
Subject2,F1_B0,0.5Hz,0.5779124065109668,0.4729890608942957,0.32936526151035683,0.11047967765070218,0.5779124065109668
Subject2,F1_B0,0.5Hz,0.8096571037531081,0.6387067163972729,0.42675802497924653,0.13321781283147993,0.8096571037531081
Subject2,F1_B0,0.5Hz,1.0869953196990838,0.8490834945759881,0.4960033752464942,0.16892102836506848,1.0869953196990838
Subject2,F1_B0,0.5Hz,1.3706034994517504,1.0745914329647892,0.5666312553142976,0.2046243715591522,1.3706034994517504
Subject2,F1_B0,1Hz,0.11157750276492241,0.2568020371175622,0.10593263994684574,0.03107223867721712,0.2568020371175622
Subject2,F1_B0,1Hz,0.2434840907347503,0.5419095583399858,0.22590879870844446,0.06748351352923455,0.5419095583399858
Subject2,F1_B0,1Hz,0.3967851116716177,0.8463644961433855,0.3239604675172788,0.10353246570322712,0.8463644961433855
Subject2,F1_B0,1Hz,0.6148897321757394,1.1324428640481186,0.40569669636569416,0.13769339341517806,1.1324428640481186
Subject2,F1_B0,1Hz,0.8295146679597497,1.3920407713006404,0.49649313260107647,0.18812406921756952,1.3920407713006404
Subject2,F1_B0,1Hz,0.9989683605694282,1.6517697936317854,0.6046437713482908,0.21136647214088056,1.6517697936317854
Subject2,F1_B0,1.5Hz,0.15335051806311037,0.19263687587371225,0.16402471003631233,0.02883352981388216,0.16402471003631233
Subject2,F1_B0,1.5Hz,0.3335250632405163,0.312898992853885,0.3065887056010014,0.06578577478161352,0.3065887056010014
Subject2,F1_B0,1.5Hz,0.46757815830601107,0.5679434670924137,0.4565303645318187,0.0822841497613987,0.4565303645318187
Subject2,F1_B0,1.5Hz,0.643693349661915,0.7933481732224373,0.5689425568466516,0.11457517054522262,0.5689425568466516
Subject2,F1_B0,1.5Hz,0.8321287221417153,0.9924478617247894,0.7033828981873272,0.13293744415829398,0.7033828981873272
