Subject,BallFreq,SL1,SL0,A0,A1
Sub208,1Hz,-0.2079810037243075,-0.2218001924705917,0.22682609597045977,0.21798105943383872
Sub208,1Hz,-0.8070668934945698,-0.5428563622939627,-0.4677345920152024,-0.2531377015437494
Sub208,1Hz,-0.38137065089728717,-0.03956417437240173,-0.14703125668316647,0.1367902593278442
Sub208,1Hz,0.03555149746879971,0.10358266860848069,0.11832704012790918,0.18051931256637135
Sub208,1Hz,-0.11824011403646909,-0.06385653220777539,-0.24620728845817805,-0.185600254962714
Sub208,1Hz,1000,1000,1000,1000
Sub208,1Hz,1000,1000,1000,1000
Sub208,1Hz,1000,1000,1000,1000
Sub208,1.5Hz,0.1045716805588277,-0.538588845756186,0.6426379500065951,0.38595502054305947
Sub208,1.5Hz,0.3380544437643868,0.10162726918593594,0.59271209266945,0.44724102142645944
Sub208,1.5Hz,0.28189294470798476,0.7311631636374167,-1.178116023147478,0.1845814400813756
Sub208,1.5Hz,-0.4637972895910505,0.4365576009152963,-0.13005216419233676,0.565022215158442
Sub208,1.5Hz,-0.9600346038495187,-0.9219908798356242,-0.814824581537171,-0.7795993434837043
Sub208,1.5Hz,-2.706682149691901,0.25618276626431724,-0.12215053388126709,0.7748188616561142
Sub208,1.5Hz,0.11934930742587632,-0.28453772815363637,0.18810087911378728,-0.1842550752838123
Sub208,1.5Hz,0.24244740348797553,0.10878180223381516,-0.10857039016970475,-0.3041709707984859
Sub208,1.5Hz,1000,-1.0097849249555317,1000,1000
Sub208,1.5Hz,1000,1000,1000,1000
Sub208,1.5Hz,1000,1000,1000,1000
Sub208,1.5Hz,1000,1000,1000,1000
Sub208,2.5Hz,0.11805283819282213,0.043816407790112914,0.3265383894087512,0.2698508823237357
Sub208,2.5Hz,0.3626212767805991,0.18303739966054483,0.362959866147443,0.18347138786803777
Sub208,2.5Hz,0.04737340131742663,-0.06986693207255873,0.050111671794635465,-0.06679166098660781
Sub208,2.5Hz,-0.6978395775991858,0.7654985318744331,-2.3343740892117086,0.5394643701817482
Sub208,2.5Hz,0.6654613000845022,-1.392009899567057,0.565214179514809,-2.1087942502755648
Sub208,2.5Hz,0.7973594333127322,0.20757299803160392,0.6970214270703482,-0.18479930318114424
Sub208,2.5Hz,0.607476901114182,0.0746846133614815,0.47669688114752035,-0.23361001970225664
Sub208,2.5Hz,1000,0.2630468734961954,0.29548563924200966,1000
Sub208,2.5Hz,1000,-0.5093767517266132,0.43095441307755245,1000
Sub208,2.5Hz,1000,1000,1000,1000
Sub208,2.5Hz,1000,1000,1000,1000
Sub208,2.5Hz,1000,1000,1000,1000
Sub209,0.5Hz,0.07144870151307448,0.6259701789640716,-1.3052643413925258,0.0714162906706714
Sub209,0.5Hz,0.2844654298326479,0.45179544156026297,-0.2590816396802698,0.03535856533239531
Sub209,0.5Hz,0.2971841118101595,-0.07163712382905713,0.14465494041854834,-0.30421001422163146
Sub209,0.5Hz,0.8270345078738158,0.27312275960369486,0.1705154015066707,-2.4858599162901713
Sub209,0.5Hz,0.2634840597129191,0.5581124851549568,-1.5105106863863367,-0.506231253822927
Sub209,0.5Hz,0.1457560660260829,0.3011261780619305,-0.5649706339122975,-0.2803333622226525
Sub209,0.5Hz,0.1826214084075082,-0.5243726780004179,-0.09920836164470244,-1.049971960552849
Sub209,0.5Hz,0.37249151632490207,0.21866050292077852,0.139945779986803,-0.07089282329752339
Sub209,0.5Hz,0.23483328016146127,0.08838182364737339,0.1044921485797771,-0.06690635289708699
Sub209,0.5Hz,1000,1000,1000,1000
Sub209,0.5Hz,1000,1000,1000,1000
Sub209,0.5Hz,1000,1000,1000,1000
Sub209,1Hz,0.6164006413931258,0.35391356011467745,0.41424979414870783,0.013436136767892919
Sub209,1Hz,0.5435093227113854,0.4901336233168387,-0.3697125459484908,-0.5298677665188835
Sub209,1Hz,0.6897727401984546,0.4557532720848695,0.44528296215902113,0.02683299669778949
Sub209,1Hz,-0.1298454635809283,0.524759692424782,-1.4867636021547572,-0.04599287004194196
Sub209,1Hz,0.13412156334236974,0.08766963030304804,-0.162884713393254,-0.2252701944863155
Sub209,1Hz,0.18415314332273927,0.01727984488879386,-0.14737021705180584,-0.38205329645239017
Sub209,1Hz,-0.2221856908692541,0.09258810994414463,-0.3755536488160241,-0.02127994597746024
Sub209,1Hz,-0.21881999734301655,-0.5043169079325933,-0.275881274119491,-0.5747442422643209
Sub209,1Hz,-0.3803008271783635,0.47345007207466266,-1.3674614618878993,0.0968732050451765
Sub209,1Hz,1000,1000,1000,1000
Sub209,1Hz,1000,1000,1000,1000
Sub209,1Hz,1000,1000,1000,1000
Sub209,1.5Hz,-0.5576639139782179,-0.2396481326692296,-0.5519800560900933,-0.23512470258001625
Sub209,1.5Hz,-1.2117720461024368,-0.5190263267260637,-0.9793442810968727,-0.35939690436867533
Sub209,1.5Hz,-1.3795613323789266,0.5723775338446211,-0.7405385225769653,0.6872140401110373
Sub209,1.5Hz,-0.5864673819154106,0.6088736615121401,-1.363491086183858,0.41730688879862693
Sub209,1.5Hz,-0.6210073888073605,0.3334034638100214,-0.7693801019162889,0.2723890987266585
Sub209,1.5Hz,-0.08643553726629054,0.013524363918182588,-0.10516032186025974,-0.00347760551233625
Sub209,1.5Hz,-0.06767509791086994,-0.17465846124027215,-0.006053576695512557,-0.10686232978440939
Sub209,1.5Hz,0.41921445004740954,-0.12617417331187128,0.37842650426432156,-0.20526417671692868
Sub209,1.5Hz,-0.4244798996250238,0.2937162495883543,0.1595396419708565,0.5832840506226893
Sub209,1.5Hz,1000,1000,1000,1000
Sub209,1.5Hz,1000,1000,1000,1000
Sub209,1.5Hz,1000,1000,1000,1000
Sub209,2.5Hz,0.14517890349377924,0.5954111500537962,-0.2905965648467706,0.38915758858780564
Sub209,2.5Hz,-0.3693343663625542,0.7368995946394057,-1.4439748533794279,0.530420918067444
Sub209,2.5Hz,-2.1000838440809075,0.527820715997985,-1.29988406165951,0.6497005680683482
Sub209,2.5Hz,-2.0384142814054282,-0.002910900905098537,-0.5273795119516445,0.4958470371437095
Sub209,2.5Hz,-0.17073000047699005,0.535161382021291,-0.918085144302708,0.23842384898319938
Sub209,2.5Hz,-0.8248915185176484,0.33080763407700203,-1.5151494082804124,0.07768830853891644
Sub209,2.5Hz,0.4486403926794141,0.3073804717559366,-0.47207450460889694,-0.8492242365688794
Sub209,2.5Hz,-0.8522064588333041,0.6609757448990495,-4.2034609067719275,0.047568671703872904
Sub209,2.5Hz,-0.5865695334979325,-0.9283579537148294,-0.30109879670722844,-0.5813893814458825
Sub209,2.5Hz,1000,1000,1000,1000
Sub209,2.5Hz,1000,1000,1000,1000
Sub209,2.5Hz,1000,1000,1000,1000
Sub211,0.5Hz,-0.804647172988016,-0.41396433023864376,0.01801303823521528,0.2306005531287057
Sub211,0.5Hz,0.6075586604341672,-0.8198458835489261,0.5293001758361808,-1.1827494991720489
Sub211,0.5Hz,0.3461390644737191,-0.6767959433117106,0.11347715504848636,-1.2734465836705524
Sub211,0.5Hz,-1.8153329306061818,-0.37982611831445207,-0.027985605526688852,0.49617277149114586
Sub211,0.5Hz,-0.18892044040245218,-0.7422456319080905,-0.27004058334657377,-0.8611191998116877
Sub211,0.5Hz,0.45168940771066657,-0.7440944617109113,0.06650380110759731,-1.9693126002156558
Sub211,0.5Hz,0.45018014248470634,-1.7926049458102902,-0.4008780881272763,-6.11523788002269
Sub211,0.5Hz,0.6837798900133338,-0.14419518782662724,0.33517679099851,-1.4055633796567726
Sub211,0.5Hz,0.2934742863724087,-1.4271580207185506,-0.3189029972461441,-3.5308839106216245
Sub211,0.5Hz,1000,1000,1000,1000
Sub211,0.5Hz,1000,1000,1000,1000
Sub211,0.5Hz,1000,1000,1000,1000
Sub211,1Hz,0.107481099632695,0.4979629909494157,-0.5803146881512196,0.11108161511017756
Sub211,1Hz,0.12373165678008179,0.22175430945588967,0.16070262361930251,0.2545895657338306
Sub211,1Hz,0.18619423254087134,0.40036764016801146,-0.23710064700023606,0.08847342944434623
Sub211,1Hz,-0.04879185168590395,-1.431564683656019,-0.06909682639896524,-1.4786406209217813
Sub211,1Hz,0.28353010645530324,0.4014530763639426,-0.8202934577704131,-0.5206934151453667
Sub211,1Hz,-0.6677184551236337,-1.5829393102332743,0.17173019600303496,-0.28281283309560257
Sub211,1Hz,0.30905861823595376,-0.7032708560628529,0.05582854654235008,-1.3275197610759208
Sub211,1Hz,-0.7842439433549675,-0.5953573711620915,0.32717075013288516,0.3983989087890021
Sub211,1Hz,1000,-0.4559411046740672,1000,-0.0958077004337158
Sub211,1Hz,1000,1000,1000,1000
Sub211,1Hz,1000,1000,1000,1000
Sub211,1Hz,1000,1000,1000,1000
Sub211,1.5Hz,0.06839535333116697,0.6226337859823846,0.2686079032908798,0.7037341242506278
Sub211,1.5Hz,-1.4826001512741807,0.3588161309685098,0.6500399564927285,0.9096154350158826
Sub211,1.5Hz,0.42846026989521635,0.6287110286172362,0.3273205057810072,0.5630076715173273
Sub211,1.5Hz,0.020066069976307045,0.276825026479334,-0.16518615708751597,0.14011195808064567
Sub211,1.5Hz,0.3544552576088557,0.4052456796087775,0.2823361895320449,0.3388008238077796
Sub211,1.5Hz,0.4438233880622402,0.4627559942061673,-0.05303144951643812,-0.01718558821457091
Sub211,1.5Hz,0.5200997119146225,-2.7740577622851976,0.319888070775719,-4.3485729628380865
Sub211,1.5Hz,0.16917433364854673,1000,1000,-0.020302780300614807
Sub211,1.5Hz,-0.08441573623794964,1000,1000,-0.49791984219830865
Sub211,1.5Hz,1000,1000,1000,1000
Sub211,1.5Hz,1000,1000,1000,1000
Sub211,1.5Hz,1000,1000,1000,1000
Sub211,2.5Hz,0.8233446731102471,0.8656608583339633,-0.1646246409600245,0.11435065455271591
Sub211,2.5Hz,-0.6337855085676941,-1.2913264672114728,-0.9511524276750642,-1.7364223612285479
Sub211,2.5Hz,0.050574695515045766,0.6539831243942065,-0.3140023189289069,0.5211134832969337
